# OS:        Windows 11 (22631) (x86_64)
# CPU:       Intel(R) Core(TM) i9-9900 CPU @ 3.10GHz (8 physical / 16 logical cores, 3096 MHz)
# RAM:       31.8 GiB
# toolchain: rustc 1.96.0 (ac68faa20 2026-05-25)
# fast-tiff-lib: 0.17.0 (path dependency)
# tiff (rust): 0.11 | TinyTIFF: vendored | libtiff: vendored
# libtiff:   LIBTIFF, Version 4.7.2 (vendored)
family,run,format,compression,predictor,strips,bigtiff,width,height,frames,reader,ok,reason,open_us,mean_us,min_us,total_read_ms,mb_s,rel,write_mb_s
"256x256 u8 none","256x256 u8 none / 1 frames",u8,none,false,1,false,256,256,1,fast-tiff-preload,true,"",50.800,124.9000,124.9000,0.1249,500.400,22.3036,19.9
"256x256 u8 none","256x256 u8 none / 1 frames",u8,none,false,1,false,256,256,1,tiff-rs,true,"",173.300,10.4000,10.4000,0.0104,6009.615,1.8571,19.9
"256x256 u8 none","256x256 u8 none / 1 frames",u8,none,false,1,false,256,256,1,tinytiff,true,"",85.300,5.6000,5.6000,0.0056,11160.714,1.0000,19.9
"256x256 u8 none","256x256 u8 none / 1 frames",u8,none,false,1,false,256,256,1,libtiff,true,"",72.400,12.8000,12.8000,0.0128,4882.812,2.2857,19.9
"256x256 u8 none","256x256 u8 none / 10 frames",u8,none,false,1,false,256,256,10,raw,true,"",31.300,6.4444,5.0000,0.0703,9698.276,0.4322,366.1
"256x256 u8 none","256x256 u8 none / 10 frames",u8,none,false,1,false,256,256,10,fast-tiff,true,"",86.100,16.3000,15.2000,0.1659,3834.356,1.0931,366.1
"256x256 u8 none","256x256 u8 none / 10 frames",u8,none,false,1,false,256,256,10,fast-tiff-preload,true,"",51.600,122.9000,122.9000,1.2290,508.544,8.2422,366.1
"256x256 u8 none","256x256 u8 none / 10 frames",u8,none,false,1,false,256,256,10,tiff-rs,true,"",114.800,71.2444,22.8000,0.9342,877.261,4.7779,366.1
"256x256 u8 none","256x256 u8 none / 10 frames",u8,none,false,1,false,256,256,10,tinytiff,true,"",88.500,14.9111,13.8000,0.1648,4191.505,1.0000,366.1
"256x256 u8 none","256x256 u8 none / 10 frames",u8,none,false,1,false,256,256,10,libtiff,true,"",72.600,27.3444,11.1000,0.3090,2285.656,1.8338,366.1
"256x256 u8 none","256x256 u8 none / 100 frames",u8,none,false,1,false,256,256,100,raw,true,"",32.300,8.8367,5.9000,1.0732,7072.803,0.4841,1728.2
"256x256 u8 none","256x256 u8 none / 100 frames",u8,none,false,1,false,256,256,100,fast-tiff,true,"",89.800,18.4444,16.9000,1.9168,3388.554,1.0105,1728.2
"256x256 u8 none","256x256 u8 none / 100 frames",u8,none,false,1,false,256,256,100,fast-tiff-preload,true,"",78.800,78.6540,78.6540,7.8654,794.619,4.3090,1728.2
"256x256 u8 none","256x256 u8 none / 100 frames",u8,none,false,1,false,256,256,100,tiff-rs,true,"",144.200,76.7889,8.2000,8.0847,813.920,4.2068,1728.2
"256x256 u8 none","256x256 u8 none / 100 frames",u8,none,false,1,false,256,256,100,tinytiff,true,"",119.700,18.2533,10.1000,1.9689,3424.032,1.0000,1728.2
"256x256 u8 none","256x256 u8 none / 100 frames",u8,none,false,1,false,256,256,100,libtiff,true,"",88.000,29.8756,13.1000,3.0925,2092.011,1.6367,1728.2
"256x256 u8 none","256x256 u8 none / 1000 frames",u8,none,false,1,false,256,256,1000,raw,true,"",31.400,8.8232,4.9000,10.3167,7083.580,0.4991,2131.8
"256x256 u8 none","256x256 u8 none / 1000 frames",u8,none,false,1,false,256,256,1000,fast-tiff,true,"",281.600,18.2910,15.9000,18.6104,3416.981,1.0347,2131.8
"256x256 u8 none","256x256 u8 none / 1000 frames",u8,none,false,1,false,256,256,1000,fast-tiff-preload,true,"",249.300,72.5631,72.5631,72.5631,861.319,4.1047,2131.8
"256x256 u8 none","256x256 u8 none / 1000 frames",u8,none,false,1,false,256,256,1000,tiff-rs,true,"",151.700,73.7346,7.8000,77.3382,847.635,4.1710,2131.8
"256x256 u8 none","256x256 u8 none / 1000 frames",u8,none,false,1,false,256,256,1000,tinytiff,true,"",123.300,17.6779,6.9000,19.6286,3535.490,1.0000,2131.8
"256x256 u8 none","256x256 u8 none / 1000 frames",u8,none,false,1,false,256,256,1000,libtiff,true,"",115.600,29.7638,13.6000,30.5683,2099.868,1.6837,2131.8
"256x256 u8 none","256x256 u8 none / 10000 frames",u8,none,false,1,false,256,256,10000,raw,true,"",50.100,8.8894,4.8000,103.0643,7030.846,0.4915,2078.2
"256x256 u8 none","256x256 u8 none / 10000 frames",u8,none,false,1,false,256,256,10000,fast-tiff,true,"",1943.400,18.0878,16.4000,184.9835,3455.361,1.0000,2078.2
"256x256 u8 none","256x256 u8 none / 10000 frames",u8,none,false,1,false,256,256,10000,fast-tiff-preload,true,"",2180.300,95.3917,95.3916,953.9165,655.194,5.2738,2078.2
"256x256 u8 none","256x256 u8 none / 10000 frames",u8,none,false,1,false,256,256,10000,tiff-rs,true,"",173.100,74.6269,24.4000,776.4088,837.499,4.1258,2078.2
"256x256 u8 none","256x256 u8 none / 10000 frames",u8,none,false,1,false,256,256,10000,tinytiff,true,"",125.300,21.1549,16.6000,230.7789,2954.397,1.1696,2078.2
"256x256 u8 none","256x256 u8 none / 10000 frames",u8,none,false,1,false,256,256,10000,libtiff,true,"",150.500,33.0720,14.5000,341.9496,1889.817,1.8284,2078.2
"256x256 u16 none","256x256 u16 none / 1 frames",u16,none,false,1,false,256,256,1,raw,true,"",30.300,19.2000,19.2000,0.0192,6510.417,2.2069,39.7
"256x256 u16 none","256x256 u16 none / 1 frames",u16,none,false,1,false,256,256,1,fast-tiff,true,"",47.900,35.2000,35.2000,0.0352,3551.136,4.0460,39.7
"256x256 u16 none","256x256 u16 none / 1 frames",u16,none,false,1,false,256,256,1,fast-tiff-preload,true,"",44.900,92.1000,92.1000,0.0921,1357.220,10.5862,39.7
"256x256 u16 none","256x256 u16 none / 1 frames",u16,none,false,1,false,256,256,1,tiff-rs,true,"",109.100,16.7000,16.7000,0.0167,7485.030,1.9195,39.7
"256x256 u16 none","256x256 u16 none / 1 frames",u16,none,false,1,false,256,256,1,tinytiff,true,"",80.800,8.7000,8.7000,0.0087,14367.816,1.0000,39.7
"256x256 u16 none","256x256 u16 none / 1 frames",u16,none,false,1,false,256,256,1,libtiff,true,"",70.500,24.3000,24.3000,0.0243,5144.033,2.7931,39.7
"256x256 u16 none","256x256 u16 none / 10 frames",u16,none,false,1,false,256,256,10,raw,true,"",29.100,10.3778,9.4000,0.1093,12044.968,0.7001,693.3
"256x256 u16 none","256x256 u16 none / 10 frames",u16,none,false,1,false,256,256,10,fast-tiff,true,"",55.600,31.7444,30.2000,0.3224,3937.697,2.1417,693.3
"256x256 u16 none","256x256 u16 none / 10 frames",u16,none,false,1,false,256,256,10,fast-tiff-preload,true,"",54.000,121.4000,121.4000,1.2140,1029.654,8.1904,693.3
"256x256 u16 none","256x256 u16 none / 10 frames",u16,none,false,1,false,256,256,10,tiff-rs,true,"",116.300,70.3222,10.1000,0.7177,1777.532,4.7444,693.3
"256x256 u16 none","256x256 u16 none / 10 frames",u16,none,false,1,false,256,256,10,tinytiff,true,"",83.100,14.8222,7.1000,0.1500,8433.283,1.0000,693.3
"256x256 u16 none","256x256 u16 none / 10 frames",u16,none,false,1,false,256,256,10,libtiff,true,"",74.500,39.7444,22.7000,0.4033,3145.094,2.6814,693.3
"256x256 u16 none","256x256 u16 none / 100 frames",u16,none,false,1,false,256,256,100,raw,true,"",31.900,16.8011,14.4000,1.8411,7439.984,0.6599,2707.6
"256x256 u16 none","256x256 u16 none / 100 frames",u16,none,false,1,false,256,256,100,fast-tiff,true,"",119.000,37.0389,33.2000,3.7473,3374.831,1.4547,2707.6
"256x256 u16 none","256x256 u16 none / 100 frames",u16,none,false,1,false,256,256,100,fast-tiff-preload,true,"",77.400,91.1430,91.1430,9.1143,1371.471,3.5797,2707.6
"256x256 u16 none","256x256 u16 none / 100 frames",u16,none,false,1,false,256,256,100,tiff-rs,true,"",157.300,84.8322,13.9000,8.7735,1473.497,3.3318,2707.6
"256x256 u16 none","256x256 u16 none / 100 frames",u16,none,false,1,false,256,256,100,tinytiff,true,"",109.000,25.4611,11.9000,2.7041,4909.448,1.0000,2707.6
"256x256 u16 none","256x256 u16 none / 100 frames",u16,none,false,1,false,256,256,100,libtiff,true,"",106.500,46.7456,27.8000,4.7214,2674.051,1.8360,2707.6
"256x256 u16 none","256x256 u16 none / 1000 frames",u16,none,false,1,false,256,256,1000,raw,true,"",32.300,17.1328,9.6000,19.2414,7295.956,0.6515,3287.8
"256x256 u16 none","256x256 u16 none / 1000 frames",u16,none,false,1,false,256,256,1000,fast-tiff,true,"",280.000,37.6144,35.5000,38.2896,3323.191,1.4303,3287.8
"256x256 u16 none","256x256 u16 none / 1000 frames",u16,none,false,1,false,256,256,1000,fast-tiff-preload,true,"",267.500,92.8219,92.8219,92.8219,1346.665,3.5296,3287.8
"256x256 u16 none","256x256 u16 none / 1000 frames",u16,none,false,1,false,256,256,1000,tiff-rs,true,"",153.600,87.7380,19.0000,90.3122,1424.696,3.3363,3287.8
"256x256 u16 none","256x256 u16 none / 1000 frames",u16,none,false,1,false,256,256,1000,tinytiff,true,"",128.400,26.2983,16.9000,28.3832,4753.153,1.0000,3287.8
"256x256 u16 none","256x256 u16 none / 1000 frames",u16,none,false,1,false,256,256,1000,libtiff,true,"",129.600,46.8221,27.2000,47.8317,2669.679,1.7804,3287.8
